ID,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
16562,41.0,male,High School,18276.0,17,RENT,1800.0,PERSONAL,11.01,0.1,17.0,667,No,0
4379,24.0,female,High School,66918.0,1,RENT,25000.0,PERSONAL,13.22,0.37,4.0,630,No,1
8999,27.0,female,Associate,48084.0,4,MORTGAGE,6400.0,DEBTCONSOLIDATION,10.99,0.13,10.0,575,Yes,0
2053,25.0,male,Bachelor,60954.0,3,MORTGAGE,2100.0,MEDICAL,11.49,0.03,3.0,579,No,1
27512,24.0,male,Bachelor,87467.0,0,RENT,12000.0,MEDICAL,14.23,0.14,4.0,678,Yes,0
21410,24.0,male,Bachelor,63766.0,1,RENT,10000.0,HOMEIMPROVEMENT,11.99,0.16,4.0,676,Yes,0
9630,22.0,female,Associate,72761.0,0,RENT,8000.0,MEDICAL,7.88,0.11,2.0,617,No,0
15716,23.0,female,Master,40470.0,0,RENT,10000.0,EDUCATION,14.65,0.25,3.0,676,No,0
5030,47.0,female,Master,104080.0,23,RENT,9000.0,HOMEIMPROVEMENT,12.87,0.09,13.0,676,No,1
16761,22.0,female,Bachelor,34679.0,3,RENT,3200.0,EDUCATION,10.59,0.09,2.0,639,No,0
19817,24.0,female,Associate,72979.0,3,MORTGAGE,3000.0,DEBTCONSOLIDATION,7.1,0.04,3.0,630,Yes,0
2943,31.0,female,Associate,154642.0,8,RENT,30000.0,VENTURE,16.29,0.19,10.0,664,No,1
6227,32.0,male,Bachelor,39437.0,6,RENT,7000.0,HOMEIMPROVEMENT,14.91,0.18,9.0,689,No,1
955,21.0,female,Master,19356.0,3,RENT,5500.0,PERSONAL,13.11,0.28,3.0,577,No,1
16628,28.0,female,Associate,35719.0,2,RENT,5000.0,VENTURE,10.65,0.14,9.0,621,Yes,0
4432,21.0,male,Bachelor,68008.0,0,MORTGAGE,18000.0,EDUCATION,10.25,0.26,2.0,639,No,1
17926,27.0,male,Bachelor,38898.0,5,OWN,8000.0,VENTURE,11.12,0.21,5.0,590,Yes,0
8763,24.0,male,Master,90856.0,3,OWN,29800.0,HOMEIMPROVEMENT,11.01,0.33,4.0,657,No,0
28777,24.0,female,Bachelor,100941.0,0,MORTGAGE,25000.0,DEBTCONSOLIDATION,13.79,0.25,3.0,645,Yes,0
27312,51.0,male,High School,82385.0,27,RENT,12000.0,PERSONAL,16.77,0.15,28.0,697,No,0
25902,30.0,female,Bachelor,29899.0,5,RENT,6000.0,PERSONAL,5.42,0.2,8.0,582,Yes,0
4245,26.0,male,Associate,130649.0,4,RENT,24000.0,EDUCATION,20.0,0.18,3.0,678,No,1
29477,24.0,male,Bachelor,104032.0,2,MORTGAGE,8000.0,EDUCATION,11.1,0.08,2.0,697,No,0
10458,37.0,male,High School,59807.0,14,RENT,3000.0,PERSONAL,8.7,0.05,13.0,532,Yes,0
29194,23.0,female,High School,68330.0,2,MORTGAGE,4000.0,EDUCATION,11.49,0.06,4.0,623,Yes,0
26505,32.0,female,Master,31370.0,6,RENT,5000.0,PERSONAL,7.91,0.16,8.0,701,No,0
27059,30.0,female,Master,88692.0,8,RENT,5500.0,DEBTCONSOLIDATION,9.99,0.06,9.0,620,Yes,0
22112,25.0,female,High School,63628.0,0,MORTGAGE,6000.0,PERSONAL,8.49,0.09,3.0,631,Yes,0
3144,22.0,female,Associate,118299.0,0,RENT,24000.0,DEBTCONSOLIDATION,11.01,0.2,2.0,503,No,1
6173,33.0,female,High School,41718.0,13,RENT,9000.0,VENTURE,14.17,0.22,10.0,628,No,1
9541,24.0,male,Associate,186885.0,1,MORTGAGE,12000.0,PERSONAL,7.49,0.06,4.0,651,Yes,0
12099,24.0,male,Bachelor,63385.0,3,RENT,7000.0,MEDICAL,7.74,0.11,4.0,656,Yes,0
18952,23.0,male,Master,105992.0,0,RENT,20000.0,DEBTCONSOLIDATION,13.4,0.19,4.0,675,Yes,0
23884,25.0,male,Master,49320.0,0,MORTGAGE,4673.0,MEDICAL,11.67,0.09,3.0,635,No,0
14715,27.0,female,Bachelor,137264.0,6,OWN,2100.0,VENTURE,11.99,0.02,7.0,587,Yes,0
11758,25.0,male,High School,47646.0,0,MORTGAGE,8000.0,HOMEIMPROVEMENT,6.03,0.17,3.0,552,Yes,0
31494,27.0,male,High School,53795.0,6,MORTGAGE,11500.0,MEDICAL,15.27,0.21,10.0,589,Yes,0
8554,39.0,female,High School,108902.0,18,MORTGAGE,10500.0,VENTURE,7.66,0.1,12.0,609,Yes,0
20298,28.0,female,Bachelor,51672.0,5,RENT,2500.0,EDUCATION,8.49,0.05,8.0,567,Yes,0
18752,26.0,male,Bachelor,30278.0,3,RENT,6000.0,DEBTCONSOLIDATION,6.62,0.2,4.0,628,Yes,0
10469,43.0,female,High School,57102.0,19,MORTGAGE,7500.0,EDUCATION,6.94,0.13,12.0,656,No,0
4144,25.0,male,High School,37206.0,3,RENT,6000.0,EDUCATION,14.74,0.16,4.0,649,No,1
27424,23.0,male,Bachelor,174697.0,0,MORTGAGE,14400.0,EDUCATION,5.79,0.08,4.0,620,No,0
20657,29.0,male,High School,76062.0,7,OWN,15000.0,HOMEIMPROVEMENT,11.01,0.2,7.0,669,Yes,0
18743,30.0,female,Bachelor,78999.0,9,RENT,12800.0,PERSONAL,15.2,0.16,6.0,667,Yes,0
27732,23.0,male,Bachelor,57737.0,0,RENT,4000.0,EDUCATION,12.53,0.07,4.0,680,Yes,0
20999,25.0,male,High School,51537.0,0,MORTGAGE,13975.0,VENTURE,8.9,0.27,4.0,653,Yes,0
10366,29.0,female,Bachelor,61199.0,5,MORTGAGE,21850.0,PERSONAL,12.42,0.36,9.0,675,Yes,0
5033,26.0,female,Associate,54109.0,6,RENT,14000.0,DEBTCONSOLIDATION,14.83,0.26,2.0,536,No,1
19377,23.0,female,High School,35214.0,3,RENT,1500.0,MEDICAL,7.74,0.04,3.0,648,No,0
27516,24.0,female,Bachelor,96895.0,3,MORTGAGE,10000.0,MEDICAL,9.07,0.1,4.0,637,Yes,0
15837,30.0,male,Associate,64443.0,8,MORTGAGE,15000.0,VENTURE,5.99,0.23,5.0,612,Yes,0
25356,36.0,male,High School,348890.0,16,MORTGAGE,25000.0,PERSONAL,15.65,0.07,16.0,564,Yes,0
18044,23.0,male,High School,35964.0,0,MORTGAGE,11500.0,DEBTCONSOLIDATION,7.9,0.32,4.0,669,Yes,0
