ID,person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership,loan_intent,loan_status
6868,22.0,female,Bachelor,37085.0,0.0,6000.0,10.99,0.16,2.0,664.0,No,RENT,PERSONAL,1
24484,24.0,male,Associate,144837.0,3.0,2500.0,11.01,0.02,3.0,608.0,Yes,MORTGAGE,EDUCATION,0
4279,23.0,male,Master,83732.0,0.0,9537.0,15.24,0.11,4.0,643.0,No,RENT,PERSONAL,1
4486,37.0,male,High School,55061.0,12.0,14000.0,11.36,0.25,16.0,696.0,No,RENT,PERSONAL,1
10131,22.0,male,Associate,14763.0,0.0,1000.0,12.99,0.07,4.0,540.0,Yes,RENT,MEDICAL,0
2777,23.0,male,Bachelor,33656.0,4.0,1925.0,11.01,0.06,3.0,631.0,Yes,MORTGAGE,VENTURE,0
4256,23.0,male,Associate,23966.0,0.0,6250.0,16.82,0.26,4.0,676.0,No,RENT,HOMEIMPROVEMENT,1
4930,34.0,female,Master,146288.0,10.0,12000.0,14.59,0.08,8.0,607.0,No,MORTGAGE,HOMEIMPROVEMENT,1
4053,30.0,male,Associate,37110.0,9.0,13750.0,13.18,0.37,9.0,621.0,No,RENT,DEBTCONSOLIDATION,1
110,34.0,female,Master,46045.0,14.0,12157.0,15.08,0.26,12.0,645.0,No,RENT,EDUCATION,1
4280,23.0,female,Associate,51098.0,3.0,14000.0,16.89,0.27,3.0,656.0,No,RENT,PERSONAL,1
3121,22.0,female,Bachelor,8000.0,0.0,1800.0,14.84,0.22,2.0,643.0,No,RENT,PERSONAL,1
2005,31.0,female,Bachelor,90664.0,8.0,10000.0,15.58,0.11,6.0,687.0,No,MORTGAGE,MEDICAL,1
3874,23.0,male,Bachelor,65613.0,0.0,20375.0,7.49,0.31,2.0,518.0,No,RENT,PERSONAL,1
25636,23.0,female,Bachelor,102685.0,1.0,7175.0,7.49,0.07,4.0,633.0,Yes,RENT,DEBTCONSOLIDATION,0
3054,28.0,female,Associate,60081.0,7.0,10000.0,10.37,0.17,9.0,612.0,No,RENT,MEDICAL,1
6192,24.0,male,Bachelor,41389.0,3.0,9450.0,7.66,0.23,2.0,651.0,No,RENT,PERSONAL,1
5046,26.0,female,Master,63535.0,3.0,6500.0,15.68,0.1,3.0,554.0,No,MORTGAGE,DEBTCONSOLIDATION,1
13002,25.0,male,High School,82669.0,7.0,6500.0,12.99,0.08,3.0,652.0,Yes,MORTGAGE,VENTURE,0
4980,23.0,female,High School,40663.0,0.0,1904.0,13.64,0.05,4.0,602.0,No,RENT,HOMEIMPROVEMENT,1
3962,37.0,female,Bachelor,73237.0,16.0,10000.0,15.99,0.14,14.0,632.0,No,RENT,VENTURE,1
5865,21.0,male,High School,60927.0,0.0,10000.0,6.99,0.16,4.0,582.0,Yes,RENT,DEBTCONSOLIDATION,0
5379,34.0,female,Associate,76044.0,12.0,20000.0,12.11,0.26,9.0,658.0,No,RENT,VENTURE,1
1472,23.0,female,Bachelor,60541.0,0.0,12000.0,7.29,0.2,3.0,555.0,No,MORTGAGE,PERSONAL,1
3264,36.0,female,Associate,101687.0,9.0,20000.0,9.64,0.2,16.0,653.0,No,RENT,EDUCATION,1
5326,40.0,female,Associate,74092.0,18.0,11092.0,15.84,0.15,12.0,676.0,No,RENT,DEBTCONSOLIDATION,1
15545,26.0,female,Associate,38681.0,2.0,3600.0,9.87,0.09,4.0,638.0,Yes,RENT,VENTURE,0
476,25.0,male,Associate,25585.0,2.0,7530.0,14.32,0.29,4.0,542.0,No,RENT,MEDICAL,1
4478,27.0,female,High School,38834.0,7.0,6000.0,12.84,0.15,9.0,617.0,No,RENT,EDUCATION,1
4607,24.0,female,Associate,64757.0,0.0,19600.0,16.07,0.3,3.0,680.0,No,RENT,MEDICAL,1
