ID,person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership,loan_intent,loan_status
6868,"(20.0, 22.0)",female,Bachelor,"(35118.9, 43081.8)","(0.0, 1.0)","(5400.0, 6600.0)","(10.58, 11.01)","(0.14, 0.17)","(2.0, 3.0)","(663.0, 676.0)",No,RENT,PERSONAL,1
24484,"(23.0, 24.0)",male,Associate,"(133276.1, 7200766.0)","(1.0, 3.0)","(500.0, 3000.0)","(10.58, 11.01)","(0.0, 0.04)","(2.0, 3.0)","(591.0, 611.0)",Yes,MORTGAGE,EDUCATION,0
4279,"(22.0, 23.0)",male,Master,"(76436.8, 88474.9)","(0.0, 1.0)","(8000.0, 10000.0)","(14.97, 20.0)","(0.1, 0.12)","(3.0, 4.0)","(640.0, 652.0)",No,RENT,PERSONAL,1
4486,"(35.0, 144.0)",male,High School,"(51221.0, 59456.0)","(9.0, 13.0)","(12000.0, 14520.2)","(11.01, 11.49)","(0.21, 0.26)","(11.0, 30.0)","(692.0, 850.0)",No,RENT,PERSONAL,1
10131,"(20.0, 22.0)",male,Associate,"(8000.0, 35118.9)","(0.0, 1.0)","(500.0, 3000.0)","(12.53, 13.49)","(0.06, 0.08)","(3.0, 4.0)","(390.0, 563.0)",Yes,RENT,MEDICAL,0
2777,"(22.0, 23.0)",male,Bachelor,"(8000.0, 35118.9)","(3.0, 4.0)","(500.0, 3000.0)","(10.58, 11.01)","(0.04, 0.06)","(2.0, 3.0)","(626.0, 640.0)",Yes,MORTGAGE,VENTURE,0
4256,"(22.0, 23.0)",male,Associate,"(8000.0, 35118.9)","(0.0, 1.0)","(5400.0, 6600.0)","(14.97, 20.0)","(0.21, 0.26)","(3.0, 4.0)","(663.0, 676.0)",No,RENT,HOMEIMPROVEMENT,1
4930,"(31.0, 35.0)",female,Master,"(133276.1, 7200766.0)","(9.0, 13.0)","(10000.0, 12000.0)","(13.49, 14.97)","(0.06, 0.08)","(7.0, 9.0)","(591.0, 611.0)",No,MORTGAGE,HOMEIMPROVEMENT,1
4053,"(29.0, 31.0)",male,Associate,"(35118.9, 43081.8)","(7.0, 9.0)","(12000.0, 14520.2)","(12.53, 13.49)","(0.26, 0.66)","(7.0, 9.0)","(611.0, 626.0)",No,RENT,DEBTCONSOLIDATION,1
110,"(31.0, 35.0)",female,Master,"(43081.8, 51221.0)","(13.0, 125.0)","(12000.0, 14520.2)","(14.97, 20.0)","(0.21, 0.26)","(11.0, 30.0)","(640.0, 652.0)",No,RENT,EDUCATION,1
4280,"(22.0, 23.0)",female,Associate,"(43081.8, 51221.0)","(1.0, 3.0)","(12000.0, 14520.2)","(14.97, 20.0)","(0.26, 0.66)","(2.0, 3.0)","(652.0, 663.0)",No,RENT,PERSONAL,1
