ID,person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership,loan_intent,loan_status
19408,23.0,female,Bachelor,29966.0,1.0,5000.0,15.99,0.17,2.0,673.0,No,MORTGAGE,MEDICAL,1
23194,26.0,male,Master,51196.0,3.0,4800.0,14.27,0.09,2.0,720.0,No,RENT,EDUCATION,1
9601,31.0,female,Bachelor,18884.0,8.0,4000.0,11.49,0.21,6.0,635.0,No,RENT,VENTURE,1
27536,28.0,male,High School,13683.0,4.0,4200.0,11.83,0.31,5.0,507.0,No,RENT,DEBTCONSOLIDATION,1
2190,21.0,male,Bachelor,19420.0,0.0,7000.0,7.51,0.36,2.0,689.0,No,RENT,EDUCATION,1
15906,27.0,male,Associate,39403.0,4.0,8597.0,15.97,0.22,6.0,601.0,No,RENT,DEBTCONSOLIDATION,1
2799,41.0,female,Associate,32925.0,21.0,10300.0,16.29,0.31,14.0,661.0,No,MORTGAGE,PERSONAL,1
19776,27.0,male,High School,84887.0,4.0,10000.0,10.99,0.12,6.0,562.0,No,RENT,EDUCATION,0
15866,23.0,female,High School,38120.0,0.0,2400.0,13.98,0.06,4.0,460.0,No,RENT,PERSONAL,1
11408,24.0,male,Associate,120754.0,3.0,20000.0,6.17,0.17,4.0,652.0,No,MORTGAGE,MEDICAL,0
3966,29.0,male,Bachelor,162898.0,3.0,11000.0,9.79,0.07,8.0,704.0,No,MORTGAGE,VENTURE,0
25194,30.0,female,Bachelor,44370.0,5.0,5000.0,8.88,0.11,5.0,709.0,No,MORTGAGE,PERSONAL,0
7964,23.0,male,Bachelor,74913.0,0.0,11200.0,7.56,0.15,4.0,665.0,No,MORTGAGE,DEBTCONSOLIDATION,0
16979,22.0,male,Master,22555.0,0.0,2500.0,11.89,0.11,4.0,693.0,No,RENT,DEBTCONSOLIDATION,0
16278,26.0,female,Master,71618.0,1.0,18000.0,16.0,0.25,4.0,675.0,No,RENT,VENTURE,1
27761,35.0,female,High School,200302.0,15.0,6000.0,5.42,0.03,10.0,679.0,No,RENT,DEBTCONSOLIDATION,0
15046,26.0,female,Associate,76194.0,3.0,11000.0,11.01,0.14,3.0,652.0,No,MORTGAGE,DEBTCONSOLIDATION,0
25407,33.0,male,Bachelor,43432.0,11.0,3098.0,10.81,0.07,11.0,627.0,No,RENT,MEDICAL,0
24339,24.0,male,Master,109217.0,2.0,3000.0,13.79,0.03,4.0,681.0,No,MORTGAGE,EDUCATION,0
26553,28.0,male,Doctorate,18771.0,2.0,4369.0,12.45,0.23,9.0,689.0,No,RENT,DEBTCONSOLIDATION,1
28932,25.0,male,High School,54981.0,1.0,14500.0,11.81,0.26,3.0,620.0,No,RENT,PERSONAL,1
14802,23.0,female,Bachelor,97332.0,0.0,6978.0,8.01,0.07,3.0,708.0,No,RENT,EDUCATION,0
6708,28.0,male,Master,52793.0,9.0,13405.0,11.89,0.25,6.0,645.0,No,RENT,DEBTCONSOLIDATION,1
17644,21.0,female,Master,24941.0,0.0,2500.0,13.79,0.1,3.0,687.0,No,RENT,PERSONAL,0
7413,37.0,male,High School,63413.0,16.0,14965.0,18.02,0.24,15.0,595.0,No,RENT,EDUCATION,1
1853,25.0,female,Master,39389.0,3.0,8575.0,15.62,0.22,2.0,698.0,No,RENT,DEBTCONSOLIDATION,1
