ID,person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,home_MORTGAGE,home_OTHER,home_OWN,home_RENT,intent_DEBTCONSOLIDATION,intent_EDUCATION,intent_HOMEIMPROVEMENT,intent_MEDICAL,intent_PERSONAL,intent_VENTURE,loan_status
6868,0.0161290322580645,0,0.5,0.004043646074403,0.0,0.1594202898550724,0.3820301783264746,0.2424242424242424,0.0,0.5956521739130435,0,0,0,0,1,0,0,0,0,1,0,1
24484,0.032258064516129,1,0.25,0.0190242529786176,0.024,0.0579710144927536,0.3834019204389575,0.0303030303030303,0.0357142857142857,0.4739130434782608,1,1,0,0,0,0,1,0,0,0,0,0
4279,0.0241935483870967,1,0.75,0.0105289119651605,0.0,0.2619420289855072,0.6735253772290809,0.1666666666666666,0.0714285714285714,0.55,0,0,0,0,1,0,0,0,0,1,0,1
4486,0.1370967741935483,1,0.0,0.0065428237203879,0.096,0.391304347826087,0.4074074074074074,0.3787878787878788,0.5,0.6652173913043479,0,0,0,0,1,0,0,0,0,1,0,1
10131,0.0161290322580645,1,0.25,0.000940250245872,0.0,0.0144927536231884,0.51920438957476,0.106060606060606,0.0714285714285714,0.3260869565217391,1,0,0,0,1,0,0,0,1,0,0,0
2777,0.0241935483870967,1,0.5,0.0035669170942027,0.032,0.0413043478260869,0.3834019204389575,0.0909090909090909,0.0357142857142857,0.5239130434782608,1,1,0,0,0,0,0,0,0,0,1,0
4256,0.0241935483870967,1,0.25,0.0022197302122716,0.0,0.1666666666666666,0.7818930041152263,0.3939393939393939,0.0714285714285714,0.6217391304347826,0,0,0,0,1,0,0,1,0,0,0,1
4930,0.1129032258064516,0,0.75,0.0192259834394723,0.08,0.3333333333333333,0.6289437585733882,0.1212121212121212,0.2142857142857142,0.4717391304347826,0,1,0,0,0,0,0,1,0,0,0,1
4053,0.0806451612903225,1,0.25,0.0040471217887527,0.072,0.3840579710144927,0.532235939643347,0.5606060606060606,0.25,0.5021739130434782,0,0,0,0,1,1,0,0,0,0,0,1
110,0.1129032258064516,0,0.75,0.0052893420973238,0.112,0.3378840579710145,0.6625514403292181,0.3939393939393939,0.3571428571428571,0.5543478260869565,0,0,0,0,1,0,1,0,0,0,0,1
4280,0.0241935483870967,0,0.25,0.0059918534816786,0.024,0.391304347826087,0.7866941015089164,0.4090909090909091,0.0357142857142857,0.5782608695652174,0,0,0,0,1,0,0,0,0,1,0,1
3121,0.0161290322580645,0,0.5,0.0,0.0,0.0376811594202898,0.6460905349794238,0.3333333333333333,0.0,0.55,0,0,0,0,1,0,0,0,0,1,0,1
2005,0.0887096774193548,0,0.5,0.0114926580400363,0.064,0.2753623188405797,0.6968449931412894,0.1666666666666666,0.1428571428571428,0.6456521739130435,0,1,0,0,0,0,0,0,1,0,0,1
3874,0.0241935483870967,1,0.5,0.0080098532330955,0.0,0.5760869565217391,0.1419753086419753,0.4696969696969696,0.0,0.2782608695652174,0,0,0,0,1,0,0,0,0,1,0,1
25636,0.0241935483870967,0,0.5,0.0131639205279304,0.008,0.1934782608695652,0.1419753086419753,0.106060606060606,0.0714285714285714,0.5282608695652173,1,0,0,0,1,1,0,0,0,0,0,0
3054,0.064516129032258,0,0.25,0.0072407471618011,0.056,0.2753623188405797,0.3395061728395061,0.2575757575757575,0.25,0.4826086956521739,0,0,0,0,1,0,0,0,1,0,0,1
6192,0.032258064516129,1,0.5,0.0046420250568418,0.024,0.2594202898550725,0.1536351165980795,0.3484848484848485,0.0,0.5673913043478261,0,0,0,0,1,0,0,0,0,1,0,1
5046,0.0483870967741935,0,0.75,0.0077209518563512,0.024,0.1739130434782608,0.7037037037037037,0.1515151515151515,0.0357142857142857,0.3565217391304348,0,1,0,0,0,1,0,0,0,0,0,1
13002,0.0403225806451612,1,0.0,0.0103811245910126,0.056,0.1739130434782608,0.51920438957476,0.1212121212121212,0.0357142857142857,0.5695652173913044,1,1,0,0,0,0,0,0,0,0,1,0
4980,0.0241935483870967,0,0.0,0.0045410903121274,0.0,0.040695652173913,0.5637860082304527,0.0757575757575757,0.0714285714285714,0.4608695652173913,0,0,0,0,1,0,0,1,0,0,0,1
3962,0.1370967741935483,0,0.5,0.0090698070811701,0.128,0.2753623188405797,0.7249657064471879,0.2121212121212121,0.4285714285714285,0.5260869565217391,0,0,0,0,1,0,0,0,0,0,1,1
5865,0.0080645161290322,1,0.0,0.0073583653353939,0.0,0.2753623188405797,0.107681755829904,0.2424242424242424,0.0714285714285714,0.417391304347826,1,0,0,0,1,1,0,0,0,0,0,0
5379,0.1129032258064516,0,0.25,0.0094600602883508,0.096,0.5652173913043478,0.4588477366255143,0.3939393939393939,0.25,0.5826086956521739,0,0,0,0,1,0,0,0,0,0,1,1
1472,0.0241935483870967,0,0.5,0.007304700305835,0.0,0.3333333333333333,0.1282578875171467,0.303030303030303,0.0357142857142857,0.358695652173913,0,1,0,0,0,0,0,0,0,1,0,1
3264,0.1290322580645161,0,0.25,0.0130251700110917,0.072,0.5652173913043478,0.289437585733882,0.303030303030303,0.5,0.5717391304347826,0,0,0,0,1,0,1,0,0,0,0,1
5326,0.1612903225806451,0,0.25,0.0091886765119287,0.144,0.3070144927536232,0.7146776406035665,0.2272727272727272,0.3571428571428571,0.6217391304347826,0,0,0,0,1,1,0,0,0,0,0,1
15545,0.0483870967741935,0,0.25,0.0042655356784858,0.016,0.0898550724637681,0.3052126200274347,0.1363636363636363,0.0714285714285714,0.5391304347826087,1,0,0,0,1,0,0,0,0,0,1,0
476,0.0403225806451612,1,0.25,0.002444817473556,0.016,0.2037681159420289,0.6104252400548698,0.4393939393939393,0.0714285714285714,0.3304347826086956,0,0,0,0,1,0,0,0,1,0,0,1
4478,0.0564516129032258,0,0.0,0.0042868070503058,0.056,0.1594202898550724,0.5089163237311385,0.2272727272727272,0.25,0.4934782608695652,0,0,0,0,1,0,1,0,0,0,0,1
4607,0.032258064516129,0,0.25,0.0078908447737629,0.0,0.553623188405797,0.7304526748971194,0.4545454545454545,0.0357142857142857,0.6304347826086957,0,0,0,0,1,0,0,0,1,0,0,1
1555,0.032258064516129,0,0.0,0.0182003696491725,0.008,0.217391304347826,0.1433470507544581,0.0909090909090909,0.0714285714285714,0.4652173913043478,1,1,0,0,0,1,0,0,0,0,0,0
2091,0.0403225806451612,0,0.25,0.0021892829545685,0.008,0.1014492753623188,0.9334705075445816,0.2575757575757575,0.0714285714285714,0.3934782608695652,0,0,0,0,1,0,1,0,0,0,0,1
