ID,person_age,person_gender,person_education,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,person_home_ownership,loan_intent,loan_status
6868,"(20.0, 32.4)",female,Bachelor,"(8000.0, 727276.6)","(0.0, 12.4)","(3950.0, 7400.0)","(9.79, 11.25)","(0.13, 0.2)","(2.0, 4.8)","(620.0, 666.0)",No,RENT,PERSONAL,1
24484,"(20.0, 32.4)",male,Associate,"(8000.0, 727276.6)","(0.0, 12.4)","(500.0, 3950.0)","(9.79, 11.25)","(0.0, 0.07)","(2.0, 4.8)","(574.0, 620.0)",Yes,MORTGAGE,EDUCATION,0
4279,"(20.0, 32.4)",male,Master,"(8000.0, 727276.6)","(0.0, 12.4)","(7400.0, 10850.0)","(14.17, 15.63)","(0.07, 0.13)","(2.0, 4.8)","(620.0, 666.0)",No,RENT,PERSONAL,1
4486,"(32.4, 44.8)",male,High School,"(8000.0, 727276.6)","(0.0, 12.4)","(10850.0, 14300.0)","(11.25, 12.71)","(0.2, 0.26)","(13.2, 16.0)","(666.0, 712.0)",No,RENT,PERSONAL,1
10131,"(20.0, 32.4)",male,Associate,"(8000.0, 727276.6)","(0.0, 12.4)","(500.0, 3950.0)","(12.71, 14.17)","(0.0, 0.07)","(2.0, 4.8)","(528.0, 574.0)",Yes,RENT,MEDICAL,0
2777,"(20.0, 32.4)",male,Bachelor,"(8000.0, 727276.6)","(0.0, 12.4)","(500.0, 3950.0)","(9.79, 11.25)","(0.0, 0.07)","(2.0, 4.8)","(620.0, 666.0)",Yes,MORTGAGE,VENTURE,0
4256,"(20.0, 32.4)",male,Associate,"(8000.0, 727276.6)","(0.0, 12.4)","(3950.0, 7400.0)","(15.63, 17.08)","(0.2, 0.26)","(2.0, 4.8)","(666.0, 712.0)",No,RENT,HOMEIMPROVEMENT,1
4930,"(32.4, 44.8)",female,Master,"(8000.0, 727276.6)","(0.0, 12.4)","(10850.0, 14300.0)","(14.17, 15.63)","(0.07, 0.13)","(7.6, 10.4)","(574.0, 620.0)",No,MORTGAGE,HOMEIMPROVEMENT,1
4053,"(20.0, 32.4)",male,Associate,"(8000.0, 727276.6)","(0.0, 12.4)","(10850.0, 14300.0)","(12.71, 14.17)","(0.33, 0.4)","(7.6, 10.4)","(620.0, 666.0)",No,RENT,DEBTCONSOLIDATION,1
110,"(32.4, 44.8)",female,Master,"(8000.0, 727276.6)","(12.4, 24.8)","(10850.0, 14300.0)","(14.17, 15.63)","(0.2, 0.26)","(10.4, 13.2)","(620.0, 666.0)",No,RENT,EDUCATION,1
